course,type/info,day+time,location,enrollment,Instructor
BIOL&nbsp; 103 - 030&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 08:30 - 10:00,BIOSCI RM2325,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 031&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 08:30 - 10:00,BIOSCI RM2319,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 032&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 10:00 - 11:30,BIOSCI RM2326,21,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 033&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 10:00 - 11:30,BIOSCI RM2320,18,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 034&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 10:00 - 11:30,BIOSCI RM2325,17,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 035&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Th 10:00 - 11:30,BIOSCI RM2319,18,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 036&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 14:30 - 16:00,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 037&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 14:30 - 16:00,BIOSCI RM2320,18,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 038&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 14:30 - 16:00,BIOSCI RM2325,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 039&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 14:30 - 16:00,BIOSCI RM2319,19,"Moyes,Christopher D,<br>
Choudhury,Baharul"

BIOL&nbsp; 103 - 040&nbsp;&nbsp; Fundamentals of Biology: Organisms to Ecosystems,Queen's University | 2022 Winter | Laboratory,Mo 16:00 - 17:30,BIOSCI RM2326,20,"Moyes,Christopher D,<br>
Choudhury,Baharul"

